OccNo,VesselFlag,YearBuilt,Gross Tonnage,Vessel Type,Vessel Sub Type,Month,Accident Region,Latitude,Logitude,Area Type,Fatalities,Serious Injuries,Vessel Phase,Vessel Sub Phase,Accident Type,Accident Sub Type
M17C0006,CANADA,1998,UPTO 100000,CARGO,LIQUID CARGO,Jan,CENTRAL REGION,42.7615,-82.4655,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0006,CANADA,1998,UPTO 100000,CARGO,LIQUID CARGO,Jan,CENTRAL REGION,42.7615,-82.4655,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0008,NETHERLANDS,2012,UPTO 100000,CARGO,SOLID CARGO,Jan,CENTRAL REGION,47.62166,-70.14,HARBOUR,0,0,MOVING,MANUEVERING,ACCIDENT,COLLISION
M17C0011,MALTA,2013,UPTO 100000,CARGO,SOLID CARGO,Feb,CENTRAL REGION,47.83101,-69.8273,RIVER,0,0,MOVING,AHEAD,ACCIDENT,UNFIT
M17C0012,MALTA,2016,UPTO 100000,CARGO,LIQUID CARGO,Feb,CENTRAL REGION,46.82817,-71.22,HARBOUR,0,0,MOVING,MANUEVERING,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0013,PANAMA,2004,UPTO 100000,CARGO,SOLID CARGO,Feb,CENTRAL REGION,46.95256,-70.8285,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0015,CANADA,1980,UPTO 10000,OTHER,PASSENGER,Feb,CENTRAL REGION,48.13278,-69.7281,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0016,SINGAPORE,1985,UPTO 100000,CARGO,SOLID CARGO,Feb,CENTRAL REGION,46.40979,-72.3817,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0017,CANADA,2005,UPTO 100000,CARGO,SOLID CARGO,Feb,CENTRAL REGION,45.49295,-73.5489,HARBOUR,0,1,NOT MOVING,ANCHORED,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M17C0018,PANAMA,1985,UPTO 100000,CARGO,LIQUID CARGO,Feb,CENTRAL REGION,47.95,-69.7316,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0020,CANADA,1959,UPTO 1000,BARGE,LIQUID CARGO,Mar,CENTRAL REGION,44.03333,-77.1166,HARBOUR,0,0,NOT MOVING,DOCKED,ACCIDENT,UNFIT
M17C0021,PANAMA,2008,UPTO 100000,CARGO,SOLID CARGO,Mar,CENTRAL REGION,48.75,-62.8166,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0023,CANADA,1967,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,48.79111,-71.2188,HARBOUR,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0023,CANADA,1967,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,48.79111,-71.2188,HARBOUR,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0024,CANADA,1943,UPTO 100,TUG,SERVICE,Mar,CENTRAL REGION,48.99777,-64.3877,HARBOUR,0,0,NOT MOVING,DOCKED,ACCIDENT,UNFIT
M17C0025,CANADA,1986,UPTO 10000,TUG,SERVICE,Apr,CENTRAL REGION,46.06666,-73.4766,RIVER,0,0,MOVING,AHEAD,ACCIDENT,UNFIT
M17C0027,CANADA,1992,UPTO 10000,OTHER,PASSENGER,Apr,CENTRAL REGION,42.02586,-82.6024,HARBOUR,0,0,MOVING,MANUEVERING,ACCIDENT,COLLISION
M17C0028,CANADA,1967,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,45.40815,-73.5731,DOCK,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0029,NETHERLANDS,2009,UPTO 10000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,43.27017,-79.7834,HARBOUR,0,1,NOT MOVING,ANCHORED,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M17C0030,CANADA,1977,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,45.21624,-74.2683,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0030,CANADA,1977,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,45.21624,-74.2683,RIVER,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0031,NETHERLANDS,2007,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,49.08166,-63.9,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0032,MARSHALL ISLANDS,2002,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,48.5,-62.25,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0033,NETHERLANDS,1985,UPTO 100000,CARGO,SOLID CARGO,Apr,CENTRAL REGION,45.4937,-73.5173,DOCK,0,0,MOVING,MANUEVERING,ACCIDENT,COLLISION
M17C0034,CANADA,1993,UPTO 10000,CARGO,LIQUID CARGO,Apr,CENTRAL REGION,45.83333,-73.2833,RIVER,0,0,MOVING,MANUEVERING,INCIDENT,TOTAL FAILURE OF MACHINERY
