OccNo,VesselName,VesselFlag,VesselType,VesselSubType,GrossTonnage,YearBuilt,YearRebuilt,VesselPhase,VesselActivityType,VesselActivitySubType,VesselLossIND,PrimaryVesselIND,PrimaryAccIncTypeIND,VesselAccIncType,VesselAccIncSubType,PRODUCTION_DT
M04C0076,CANADIAN OLYMPIC,CANADA,CARGO - SOLID,BULK CARRIER,22887.32,1976,,ANCHORED,CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M04C0077,MENOMINEE,NORWAY,CARGO - SOLID,GENERAL CARGO,9261.00,1967,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0079,CANADIAN PROSPECTOR,CANADA,CARGO - SOLID,BULK CARRIER,18526.79,1964,1979,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M04C0080,GOOSE III,CANADA,BARGE - UNSPECIFIED,N/A,,,,MOORED,UNKNOWN,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M04C0081,MCASPHALT 401,CANADA,BARGE - LIQUID CARGO,BARGE - COMBINATION OIL/CARGO/RO-RO,3366.18,1966,,TOWED/PUSHED (not using own engine),CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M04C0082,DAVIKEN,BAHAMAS,CARGO - SOLID,BULK CARRIER,23306.00,1986,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0083,HONEY,UNITED STATES - US,TUG,N/A,61.00,,,UNDERWAY - moving ahead,SERVICE,"TOWING, ASSISTING",NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M04C0084,ERNA OLDENDORF,,CARGO - SOLID,GENERAL CARGO,11264.00,,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0085,ZIEMIA GNIEZNIENSKA,POLAND,CARGO - SOLID,BULK CARRIER,16697.00,1984,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M04C0086,BATUR-V,TURKEY,CARGO - SOLID,GENERAL CARGO,11176.00,,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0087,SARAH SPENCER,CANADA,BARGE - OTHER,BARGE - UNKNOWN,14707.85,1959,1989,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M04C0088,CANADIAN RANGER,CANADA,CARGO - SOLID,BULK CARRIER,16358.14,1967,1984,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M04C0089,SPRUCEGLEN,CANADA,CARGO - SOLID,BULK CARRIER,22388.00,1982,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
